    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
  99    39.22      1.84072e+10       85        0.0242846              N/A      0.00s 27
 100    40.18          1300.19       85        0.0242846              N/A     17.88s 28
 101    40.63          18082.5       85        0.0242846              N/A     18.02s 29
 102    41.80          4491.84       85        0.0242846              N/A     16.93s 29
 103    40.29      1.45384e+11       85        0.0242846              N/A     14.23s 28
 104    39.57      9.43662e+06       87        0.0239437              N/A     19.96s 29
 105    43.04      9.26295e+06       87        0.0239437              N/A     16.09s 28
 106    41.83      9.26222e+06       81         0.023735              N/A     15.54s 27
 107    41.41      4.82584e+06       81         0.023735              N/A     14.35s 27
 108    41.32          1280.04       81         0.023735              N/A     15.58s 27
 109    38.41      1.70921e+12       83         0.023646              N/A     15.37s 28
 110    42.88      9.26613e+06       83         0.023646              N/A     12.35s 28
 111    40.91      1.77602e+10       83         0.023646              N/A     15.04s 29
 112    42.50          4922.09       83         0.023646              N/A     13.45s 30
 113    44.59      1.77463e+10       83         0.023646              N/A     12.15s 30
 114    42.48          25358.9       83         0.023646              N/A     13.60s 29
 115    44.80      1.77518e+10       83         0.023646              N/A     14.08s 32
 116    43.51          27273.7       83         0.023646              N/A     12.20s 32
 117    43.37      4.63727e+06       83         0.023646              N/A     12.87s 32
 118    41.57      9.60845e+06       83         0.023646              N/A     12.88s 31
 119    43.19      8.17933e+13       83         0.023646              N/A     12.89s 31
 120    43.50          42183.8       81        0.0236524              N/A     10.42s 31
 121    43.77           296643       81        0.0236524              N/A     12.47s 30
 122    42.57      1.81214e+12       81        0.0236524              N/A     11.01s 30
 123    42.54          3059.34       81        0.0236524              N/A     10.56s 30
 124    42.20          3616.79       81        0.0236524              N/A     10.93s 30
 125    45.41       5.3486e+06       83        0.0235382              N/A      8.86s 31
 126    43.25      1.77606e+10      105        0.0232809              N/A      9.51s 32
 127    44.41      6.35016e+06       79        0.0224935              N/A      9.24s 29
 128    42.34      7.05592e+13       79        0.0224935              N/A      7.14s 29
 129    40.51      1.77511e+10       79        0.0224935              N/A      8.99s 29
 130    40.69          7803.81       83        0.0223251              N/A      9.11s 28
 131    40.34          21730.3       83        0.0223251              N/A     10.62s 28
 132    43.34      1.84064e+10       83        0.0223251              N/A     10.69s 29
 133    41.55      4.81371e+06       95        0.0222662              N/A      9.73s 31
 134    46.17          1395.48       95        0.0221925              N/A     10.06s 32
 135    45.52          8001.78       83        0.0219526              N/A      7.54s 32
 136    45.55          3569.62       83        0.0219526              N/A      6.62s 30
 137    44.59      2.43145e+06       81        0.0218267              N/A      5.84s 30
 138    41.76          5952.55       81        0.0218267              N/A      5.72s 30
 139    42.85          670.625       81        0.0218267              N/A      5.39s 30
 140    43.64          22606.1       81        0.0218267              N/A      4.49s 30
 141    44.05          8299.95       81        0.0218267              N/A      4.04s 30
 142    44.00          53079.1       81        0.0218267              N/A      3.62s 30
 143    40.79          67117.2       81        0.0218267              N/A      3.16s 30
 144    43.14          7703.03       81        0.0218267              N/A      2.62s 29
