0.0134,0.0145,0.0169,0.0215,0.0118,0.0203
0.0518,0.0567,0.0549,0.0317,0.0548,0.0548
0.0321,0.0222,0.026,0.021,0.03,0.0314
0.0518,0.0903,0.0259,0.0412,0.0418,0.0346
0.0292,0.0309,0.022,0.0244,0.0223,0.0257
0.0128,0.0114,0.0129,0.0129,0.0121,0.0139
0.0232,0.0275,0.0115,0.0306,0.0251,0.0279
0.00997,0.0181,0.0245,0.0247,0.0181,0.0187
0.0321,0.0318,0.0338,0.0338,0.0664,0.0664
0.0568,0.0568,0.0568,0.0568,0.0568,0.0568
0.0268,0.0129,0.019,0.0406,0.0406,0.0406
0.0167,0.0167,0.0134,0.0186,0.0112,0.0123
0.00976,0.00895,0.0121,0.00899,0.0126,0.0145
0.00907,0.0182,0.0183,0.0161,0.0182,0.0187
0.0192,0.0157,0.0102,0.0241,0.0161,0.0165
0.0766,0.0983,0.0983,0.0983,0.0983,0.0983
0.0138,0.023,0.00972,0.0169,0.0171,0.0226
1.73,0.0241,0.0239,0.0211,0.022,0.0179
0.0183,0.0203,0.0144,0.0199,0.0205,0.022
0.0231,0.0331,0.0134,0.0313,0.035,0.0287
0.0251,0.0177,0.0141,0.0133,0.0181,0.0142
