0.979,0.98,0.948,0.975,0.941,0.977,0.967,0.966,0.958,0.982
0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.413,0.779
0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.639,0.639
0.859,0.941,0.904,0.922,0.906,0.892,0.915,0.927,0.873,0.947
0.985,0.963,0.951,0.961,0.96,0.987,0.993,0.987,0.982,0.967
0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213,0.213
0.98,0.99,0.992,0.992,0.989,0.991,0.988,0.992,0.992,0.989
0.972,0.9,0.904,0.99,0.927,0.92,0.941,0.967,0.942,0.975
-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018
0.88,0.894,0.896,0.889,0.866,0.889,0.902,0.874,0.879,0.902
0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658,0.658
0.963,0.946,0.964,0.965,0.958,0.933,0.954,0.962,0.952,0.962
-0.023,-0.023,-0.023,-0.023,-0.023,-0.023,-0.023,-0.023,-0.023,-0.023
-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018
0.985,0.967,0.979,0.962,0.643,0.964,0.978,0.968,0.966,0.971
-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019,-0.019
-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025,-0.025
0.926,0.914,0.937,0.9,0.941,-1.73,0.93,0.94,0.905,0.905
0.997,0.987,0.996,0.994,0.987,0.983,0.987,0.991,0.991,0.992
0.997,0.986,0.999,0.997,0.999,0.988,0.996,0.998,0.989,0.992
-0.016,-0.024,-0.024,-0.024,-0.024,-0.024,-0.024,-0.016,-0.016,-0.016
0.988,0.979,0.919,0.989,0.99,0.986,0.981,0.989,0.983,0.989
0.106,0.972,0.91,0.969,0.96,0.596,0.964,0.964,-2.336,0.963
-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03
-19.234,0.914,0.99,0.982,0.985,0.981,0.978,0.984,0.796,0.986
0.94,0.937,0.931,0.929,0.932,0.956,0.931,0.945,0.933,0.935
0.962,0.967,0.959,0.974,0.959,0.964,0.975,0.97,0.971,0.775
0.914,0.9,0.928,0.895,0.915,0.929,0.876,0.892,0.898,0.884
0.972,0.97,0.928,0.944,0.958,0.881,0.984,0.879,0.947,0.807
-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017,-0.017
