    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
 292    43.05          31.8105       83        0.0107427              N/A      6.56s 35
 293    45.66          404.966       83        0.0107427              N/A      5.11s 35
 294    43.49          1297.47       83        0.0107427              N/A      5.81s 35
 295    46.99      4.80294e+06       83        0.0107427              N/A      3.21s 35
 296    46.67            54786       81        0.0106918              N/A      3.02s 35
 297    45.09          166.375       81        0.0106918              N/A      2.00s 35
 298    44.09            394.4       81        0.0106918              N/A      1.03s 35
 299    45.02          4454.18       81        0.0106918              N/A      0.00s 35
 300    44.71          44772.5       81        0.0106918              N/A     43.23s 34
 301    44.55          28.2324       81        0.0106918              N/A     57.13s 34
 302    44.00          23.3403       81        0.0106918              N/A      1.02m 34
 303    43.62          3478.58       89        0.0106744              N/A     47.75s 35
 304    45.10           1243.3       89        0.0106744              N/A     45.46s 35
 305    46.26           197623       89        0.0106744              N/A     49.22s 34
 306    46.13          1948.46       89        0.0106744              N/A     43.65s 36
 307    45.83          207.719       89        0.0106744              N/A     43.69s 36
 308    47.70          21138.2       89        0.0106744              N/A     48.91s 36
 309    46.74          21.3757       89        0.0106744              N/A     52.83s 36
 310    46.23          26.2842       89        0.0106744              N/A     42.63s 36
 311    45.29          166.216       89        0.0106744              N/A     49.19s 36
 312    45.94          1322.12       89        0.0106744              N/A     43.93s 36
 313    48.77          5238.45       89        0.0106744              N/A     43.96s 35
 314    46.29          21.5563       89        0.0106744              N/A     42.60s 35
 315    46.70          24603.8       89        0.0106744              N/A     40.74s 35
 316    48.84          822.767       89        0.0106744              N/A     31.43s 35
 317    49.63          19217.8       89        0.0106744              N/A     39.17s 35
 318    48.23           198109       89        0.0106744              N/A     32.43s 35
 319    49.94      8.15743e+14       75        0.0106573              N/A     31.05s 31
 320    41.97          796.458       75        0.0106573              N/A     31.91s 31
 321    44.03          494.614       75        0.0106573              N/A     32.03s 31
 322    42.75          2359.55       75        0.0106573              N/A     30.60s 31
 323    42.56      3.62767e+08       75        0.0106573              N/A     27.34s 31
 324    43.04          360.996       73        0.0106166              N/A     29.51s 30
 325    42.94          809.568       73        0.0106166              N/A     27.09s 30
 326    41.91            13852       73        0.0106166              N/A     25.63s 29
 327    41.36            36272       73        0.0106166              N/A     28.14s 30
 328    42.10          25.7128       73        0.0106166              N/A     23.98s 30
 329    41.84           255378       73        0.0106166              N/A     23.20s 30
 330    41.86           529.71       73        0.0106166              N/A     21.35s 31
 331    43.42           403990       73        0.0106166              N/A     22.35s 31
 332    43.44          14.4456       73        0.0106166              N/A     19.03s 31
 333    43.06          1784.27       73        0.0106166              N/A     17.20s 31
 334    40.90          2545.74       73        0.0106166              N/A     15.65s 31
 335    41.69          35.6771       73        0.0106166              N/A     10.61s 31
 336    43.27          7618.14       73        0.0106166              N/A     11.40s 31
 337    42.27          34.2064       73        0.0106166              N/A     10.51s 31
 338    42.63          1518.31       73        0.0106166              N/A      9.09s 31
 339    40.65          31.3678       73        0.0106166              N/A     10.77s 31
 340    40.80          6734.83       73        0.0106166              N/A      7.58s 31
 341    43.12          3253.99       73        0.0106166              N/A      7.29s 31
 342    42.33          37966.4       75         0.010532              N/A      5.80s 32
 343    43.25          22.7127       75         0.010532              N/A      5.92s 32
 344    42.29          166.962       75         0.010532              N/A      5.22s 32
 345    44.47          148.772       75         0.010532              N/A      3.72s 32
 346    44.22          4306.23       75         0.010532              N/A      2.62s 32
 347    42.66          732.864       75         0.010532              N/A      2.21s 32
 348    42.60          39296.4       77        0.0105151              N/A      1.27s 33
 349    44.07          827.626       77        0.0105151              N/A      0.00s 33
 350    44.36          32.9145       77        0.0105151              N/A      1.02m 33
 351    46.20           51.676       77        0.0105151              N/A     54.23s 33
 352    45.21          710.322       77        0.0105151              N/A      1.06m 33
 353    45.84          3201.34       77        0.0105151              N/A     49.67s 33
 354    45.16          211.018       77        0.0105151              N/A     54.16s 33
 355    46.05          64.3538       77        0.0105151              N/A     50.26s 33
 356    44.63            47811       79        0.0104814              N/A     46.78s 34
 357    46.91          57.6424       79        0.0104814              N/A     46.54s 34
 358    46.67          3832.69       79        0.0104814              N/A     47.41s 34
 359    45.16           142650       79        0.0104814              N/A     35.77s 35
 360    45.84          168.881       79        0.0104814              N/A     43.99s 35
 361    45.30      1.40093e+06       79        0.0104814              N/A     43.63s 35
 362    44.17          60.0661       79        0.0104814              N/A     39.30s 35
 363    44.55            62741       79        0.0104814              N/A     39.19s 35
 364    43.35          3330.65       79        0.0104814              N/A     39.74s 35
 365    44.40      1.40687e+08       79        0.0104814              N/A     37.27s 35
 366    47.34          48.4713       79        0.0104814              N/A     37.83s 35
 367    45.15          117.332       79        0.0104814              N/A     33.10s 35
 368    45.98          76.3689      107        0.0103809              N/A     35.93s 36
 369    48.98          45.7514      107        0.0103809              N/A     34.28s 37
 370    52.05          75837.9       91        0.0102441              N/A     33.77s 36
 371    47.30          278.858       81        0.0100722              N/A     32.33s 35
 372    46.44          50.6205       85        0.0100309              N/A     29.05s 36
 373    50.89            19211       97       0.00990814              N/A     28.65s 37
 374    47.70          14.5784       97       0.00990814              N/A     23.97s 37
 375    49.80          20576.5       97       0.00990814              N/A     30.01s 37
 376    50.80           515859       97       0.00990814              N/A     23.12s 38
 377    52.40          106.669       97       0.00990814              N/A     26.71s 38
 378    50.84           292820       97       0.00990814              N/A     26.20s 38
 379    51.71          20300.8       97       0.00990814              N/A     25.35s 39
 380    53.86          1191.41      119       0.00981728              N/A     21.24s 40
 381    52.19           33.354      119       0.00981728              N/A     20.45s 40
 382    51.05          512.199      119       0.00981728              N/A     19.59s 40
 383    52.65           5117.8      119       0.00981728              N/A     17.23s 39
