    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
 102    24.25          54.0647       41        0.0326045              N/A     20.56s 18
 103    22.45           205.97       41        0.0326045              N/A     21.97s 18
 104    24.56          635.301       41        0.0326045              N/A     28.17s 18
 105    24.42          286.075       41        0.0326045              N/A     26.85s 18
 106    23.81          49867.7       39        0.0325475              N/A     24.38s 17
 107    23.67          1648.85       39        0.0325475              N/A     27.19s 17
 108    22.59          1315.64       39        0.0325475              N/A     24.07s 17
 109    22.07          43.9843       39        0.0325475              N/A     21.70s 17
 110    23.28          67.7662       39        0.0325475              N/A     19.75s 17
 111    21.94      3.56518e+06       39        0.0325475              N/A     18.47s 18
 112    23.32          851.823       67        0.0325159              N/A     16.39s 19
 113    25.79          1447.83       39        0.0289439              N/A     19.79s 18
 114    23.71          1095.12       37        0.0281499              N/A     13.05s 17
 115    23.81      2.69255e+07       37        0.0281499              N/A     15.23s 17
 116    22.34           3016.8       37        0.0281499              N/A     18.16s 17
 117    23.23          2689.25       37        0.0281499              N/A     20.98s 17
 118    22.57          160.542       37        0.0281499              N/A     17.70s 17
 119    23.39          635.345       37        0.0281499              N/A     18.22s 17
 120    22.84          41387.2       39         0.028028              N/A     17.79s 18
 121    24.36          6260.84       41        0.0275658              N/A     14.89s 18
 122    24.46          39544.5       41        0.0275658              N/A     15.45s 18
 123    24.74          91.4877       53        0.0267894              N/A     21.84s 17
 124    25.34           51.062       59        0.0267153              N/A     19.17s 20
 125    28.82          1293.76       61        0.0253642              N/A     17.71s 19
 126    30.64          1367.87       87        0.0251674              N/A     17.32s 19
 127    34.33          49.0093       81        0.0251291              N/A     17.07s 21
 128    39.01          1939.31       61        0.0248168              N/A     14.63s 18
 129    34.88          5078.95       61        0.0248168              N/A     16.85s 19
 130    36.22      8.92496e+07       65        0.0241125              N/A     17.01s 15
 131    32.63          4240.61       65        0.0241125              N/A     17.17s 14
 132    31.80          17742.3       91        0.0238523              N/A     14.45s 15
 133    34.50          591.902       31        0.0203445              N/A     12.57s 12
 134    23.98          31.2753       31        0.0203445              N/A     12.19s 9
 135    18.11          3717.48       31        0.0203445              N/A      6.90s 9
 136    16.66          1772.92       31        0.0203445              N/A      7.31s 10
 137    16.58          5412.46       31        0.0203445              N/A      5.91s 10
 138    15.71           474947       31        0.0203445              N/A      6.20s 10
 139    17.38          28588.8       31        0.0203445              N/A      6.19s 10
 140    16.95          2337.43       31        0.0203445              N/A      5.39s 10
 141    17.34           450044       23        0.0199378              N/A      5.06s 10
 142    15.72          133.327       25         0.019355              N/A      3.87s 11
 143    15.58          30.7024       25         0.019355              N/A      2.97s 11
 144    16.34          918.621       37         0.016485              N/A      2.82s 12
 145    16.66          33.5931       37         0.016485              N/A      2.17s 13
 146    18.82          20.6847       37         0.016485              N/A      1.67s 13
 147    20.13          51.0104       37         0.016485              N/A      1.13s 14
 148    20.56          169.634       51        0.0162211              N/A      0.52s 15
 149    21.62          8.89412       55        0.0157609              N/A      0.00s 18
 150    25.72          1636.69       35        0.0154391              N/A     29.22s 14
 151    22.79          15.2518       57        0.0152507              N/A     27.96s 17
 152    25.40           521.41       37        0.0141363              N/A     31.59s 17
 153    24.85          80.2023       37        0.0141363              N/A     28.74s 14
 154    20.80          56.3812       37        0.0141363              N/A     26.00s 14
 155    20.27          2036.92       43        0.0141146              N/A     28.82s 15
 156    21.47          798.476       43        0.0141146              N/A     23.92s 17
 157    24.09      1.36062e+09       45        0.0140093              N/A     23.73s 17
 158    24.17          4175.72       43        0.0139808              N/A     21.40s 17
 159    23.70          26.1495       43        0.0139808              N/A     21.32s 17
 160    23.91          1648.63       43        0.0139808              N/A     18.96s 17
 161    24.37          170.717       45        0.0138801              N/A     22.81s 18
 162    25.32          157.721       49        0.0136157              N/A     24.30s 19
 163    26.91          68.6837       53        0.0134998              N/A     23.80s 21
 164    28.28           3086.5       53        0.0134998              N/A     23.47s 21
 165    31.08          307.434       51        0.0132833              N/A     23.64s 20
 166    29.05          26.0348       81        0.0130134              N/A     18.02s 21
 167    30.96          8808.39      123        0.0128982              N/A     23.61s 23
 168    38.38          42.4012       71        0.0128345              N/A     22.54s 24
 169    40.44          1594.33       73        0.0128115              N/A     17.75s 25
 170    38.79          312.951       73        0.0128115              N/A     19.73s 24
 171    35.49          647.041       69        0.0127622              N/A     19.46s 24
 172    36.41      3.67896e+06       67        0.0127219              N/A     18.66s 23
 173    33.77          1869.94       69        0.0126848              N/A     16.94s 25
 174    36.81          3570.22       95        0.0126599              N/A     17.61s 25
 175    38.37          309.588       73        0.0126106              N/A     15.87s 25
 176    37.25          154.243       75        0.0125938              N/A     13.93s 27
 177    39.15          87.1333       97        0.0125607              N/A     14.26s 26
 178    39.86           151750       95        0.0124977              N/A     15.63s 27
 179    41.61          5012.56       95        0.0124023              N/A     14.34s 28
 180    44.07          166.885       85        0.0123893              N/A     16.80s 28
 181    42.61          3058.42       91        0.0123792              N/A     12.52s 25
 182    41.66          731.164       75        0.0120733              N/A     11.44s 23
 183    38.91          115.271       79        0.0120517              N/A     14.39s 24
 184    37.09          244.596       75        0.0118974              N/A     13.19s 25
 185    37.80          620.805       75        0.0118974              N/A      9.78s 25
 186    37.29          107.323       75        0.0118974              N/A      9.38s 26
