0.981;0.978;0.97;9.51E-01;9.85E-01;9.56E-01
0.716;0.659;0.68;8.93E-01;6.82E-01;6.82E-01
0.891;0.948;0.929;9.53E-01;9.05E-01;8.96E-01
-0.013;-0.013;-0.013;-1.30E-02;-1.30E-02;-1.30E-02
0.716;0.136;0.929;8.20E-01;8.15E-01;8.73E-01
0.91;0.899;0.949;9.37E-01;9.47E-01;9.30E-01
0.983;0.986;0.982;9.82E-01;9.84E-01;9.80E-01
0.943;0.92;0.986;9.01E-01;9.33E-01;9.18E-01
0.989;0.966;0.937;9.36E-01;9.65E-01;9.63E-01
0.891;0.893;0.879;8.79E-01;5.33E-01;5.33E-01
0.658;0.658;0.658;6.58E-01;6.58E-01;6.58E-01
0.924;0.982;0.962;8.26E-01;8.26E-01;8.26E-01
-0.019;-0.019;-0.019;-1.90E-02;-1.90E-02;-1.90E-02
-0.018;-0.018;-0.018;-1.80E-02;-1.80E-02;-1.80E-02
0.97;0.971;0.981;9.63E-01;9.87E-01;9.84E-01
-0.019;-0.019;-0.019;-1.90E-02;-1.90E-02;-1.90E-02
-0.017;-0.017;-0.017;-1.70E-02;-1.70E-02;-1.70E-02
0.98;0.958;0.949;9.87E-01;9.47E-01;9.66E-01
0.99;0.992;0.984;9.91E-01;9.83E-01;9.78E-01
0.991;0.965;0.965;9.73E-01;9.65E-01;9.63E-01
-0.016;-0.016;-0.016;-1.60E-02;-1.60E-02;-1.60E-02
0.961;0.974;0.989;9.39E-01;9.73E-01;9.71E-01
0.378;-0.022;-0.022;-2.20E-02;-2.20E-02;-2.20E-02
-0.03;-0.03;-0.03;-3.00E-02;-3.00E-02;-3.00E-02
0.98;0.944;0.99;9.70E-01;9.69E-01;9.46E-01
-314.393;0.938;0.94;9.53E-01;9.49E-01;9.66E-01
0.965;0.956;0.978;9.58E-01;9.55E-01;9.49E-01
0.944;0.884;0.981;8.96E-01;8.71E-01;9.13E-01
0.933;0.967;0.979;9.81E-01;9.65E-01;9.79E-01
-0.017;-0.048;-0.048;-4.80E-02;-4.80E-02;-4.80E-02
