0.0141,0.0139,0.0221,0.0155,0.0237,0.0147,0.0176,0.0179,0.0199,0.0132
0.0744,0.0744,0.0744,0.0744,0.0744,0.0744,0.0744,0.0744,0.0744,0.0457
0.0584,0.0584,0.0584,0.0584,0.0584,0.0584,0.0584,0.0584,0.0584,0.0584
0.0365,0.0237,0.03,0.0271,0.0298,0.0319,0.0283,0.0262,0.0346,0.0225
0.0119,0.0187,0.0214,0.0193,0.0193,0.0109,0.00823,0.011,0.0129,0.0176
0.0862,0.0862,0.0862,0.0862,0.0862,0.0862,0.0862,0.0862,0.0862,0.0862
0.0137,0.00974,0.00891,0.00889,0.0102,0.00896,0.0108,0.00864,0.00871,0.0103
0.0164,0.0308,0.0302,0.00974,0.0263,0.0275,0.0236,0.0177,0.0235,0.0154
0.0981,0.0981,0.0981,0.0981,0.0981,0.0981,0.0981,0.0981,0.0981,0.0981
0.0337,0.0316,0.0313,0.0324,0.0356,0.0324,0.0304,0.0345,0.0338,0.0304
0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568,0.0568
0.0187,0.0227,0.0183,0.0182,0.02,0.0251,0.0209,0.0191,0.0212,0.0189
0.0983,0.0983,0.0983,0.0983,0.0983,0.0983,0.0983,0.0983,0.0983,0.0983
0.0981,0.0981,0.0981,0.0981,0.0981,0.0981,0.0981,0.0981,0.0981,0.0981
0.0118,0.0176,0.0141,0.0189,0.058,0.0186,0.0146,0.0173,0.0178,0.0165
0.0981,0.0981,0.0981,0.0981,0.0981,0.0981,0.0981,0.0981,0.0981,0.0981
0.0984,0.0984,0.0984,0.0984,0.0984,0.0984,0.0984,0.0984,0.0984,0.0984
0.0264,0.0285,0.0245,0.0307,0.0235,0.16,0.0256,0.0237,0.03,0.03
0.00536,0.0111,0.00635,0.00782,0.011,0.0127,0.0111,0.0091,0.00896,0.00862
0.00558,0.0113,0.00362,0.00573,0.00337,0.0105,0.00646,0.00381,0.00996,0.00869
0.098,0.0983,0.0983,0.0983,0.0983,0.0983,0.0983,0.098,0.098,0.098
0.0108,0.0141,0.0276,0.0103,0.00988,0.0116,0.0134,0.0104,0.0125,0.0102
0.0919,0.0162,0.0292,0.0171,0.0194,0.0618,0.0184,0.0183,0.178,0.0186
0.0986,0.0986,0.0986,0.0986,0.0986,0.0986,0.0986,0.0986,0.0986,0.0986
0.437,0.0285,0.00981,0.0129,0.0119,0.0135,0.0146,0.0122,0.0439,0.0114
0.0239,0.0244,0.0255,0.026,0.0254,0.0204,0.0256,0.0229,0.0252,0.0248
0.019,0.0176,0.0196,0.0156,0.0196,0.0184,0.0153,0.0168,0.0166,0.0461
0.0285,0.0307,0.0261,0.0314,0.0283,0.026,0.0342,0.0319,0.031,0.0332
0.0163,0.017,0.0261,0.023,0.02,0.0335,0.0125,0.0338,0.0223,0.0427
0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098
