Crossover,PGP Length,PGP Kommenda,Standard GP,EPLEX
1,95,131,52,46
0.9,44,104,41,40
0.8,35,38,41,41
0.7,25,31,45,43
0.6,15,26,37,41
0.5,19,22,32,34
0.4,24,18,31,32
0.3,14,18,27,34
0.2,20,32,30,35
0.1,19,15,26,33
0,17,19,26,27
