    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen   Length          Fitness   Length          Fitness      OOB Fitness  Time Left
 108    80.96          1.04737      113        0.0116525              N/A     53.42s
 109    83.87          0.27424      113        0.0116525              N/A      1.23m
 110    83.17        0.0819086      113        0.0116525              N/A      1.08m
 111    85.08         0.122048      113        0.0116525              N/A     58.90s
 112    85.74         0.166146      113        0.0116525              N/A      1.23m
 113    85.59         0.125984       95        0.0116838              N/A      1.01m
 114    84.26         0.119032       95        0.0116838              N/A      1.17m
 115    85.17          2.64883       95        0.0116838              N/A     55.37s
 116    85.23          0.10619       95        0.0116838              N/A     55.29s
 117    85.41          2.04821       95        0.0116838              N/A      1.01m
 118    84.09         0.591547       91        0.0116168              N/A     54.34s
 119    85.14         0.121645      183        0.0115922              N/A     57.08s
 120    84.58         0.212133       95        0.0116838              N/A      1.01m
 121    85.00          19.4336       95        0.0116838              N/A      1.06m
 122    85.91         0.281464      101        0.0112393              N/A     54.18s
 123    85.08         0.219241      101        0.0112393              N/A      1.02m
 124    86.00          599.686      101        0.0112393              N/A      1.11m
 125    83.27           2.6884      101        0.0112393              N/A      1.12m
 126    82.31         0.186475       89        0.0116433              N/A      1.13m
 127    82.57         0.116029      113        0.0114715              N/A     55.45s
 128    81.34         0.479468       99        0.0116891              N/A      1.14m
 129    86.24         0.365104      189        0.0116799              N/A      1.16m
 130    84.86         0.362179       99        0.0112394              N/A     53.32s
 131    81.06         0.153848       99        0.0112394              N/A     54.97s
 132    81.27        0.0970774      101        0.0115472              N/A     59.98s
 133    81.83         0.243668       99        0.0116131              N/A     47.36s
 134    82.86         0.222214       97        0.0115585              N/A     47.47s
 135    84.97          1.35378       97        0.0115585              N/A     53.94s
 136    84.82         0.282941       97        0.0115585              N/A     46.94s
 137    82.32         0.160999       99        0.0114318              N/A     46.41s
 138    82.02         0.110689       99        0.0114318              N/A     50.99s
 139    81.59         0.195989      125        0.0114156              N/A     53.50s
 140    82.99         0.186746      125        0.0114156              N/A     46.08s
 141    83.47         0.315512      131        0.0115245              N/A     47.46s
 142    82.86         0.273993       85         0.011547              N/A     47.01s
