    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen Complexity          Fitness Complexity          Fitness      OOB Fitness  Time Left
   0 3.72e+01       1.5607e+16 2.70e+01         0.174882              N/A      3.85s 0
   1 1.50e+01           386050 9.00e+00         0.104303              N/A     22.96s 0
   2 9.64e+00      1.65036e+06 2.50e+01        0.0608129              N/A     22.32s 0
   3 1.04e+01      3.88115e+10 2.50e+01        0.0608129              N/A     24.75s 0
   4 1.23e+01          61.6666 2.50e+01        0.0512859              N/A     23.71s 0
   5 1.32e+01          152.134 2.70e+01        0.0394928              N/A     23.40s 0
   6 2.04e+01          50.0768 4.10e+01        0.0394618              N/A     21.19s 0
   7 2.73e+01          205.232 2.90e+01        0.0379294              N/A     23.46s 0
   8 2.86e+01          143.675 2.70e+01        0.0349844              N/A     23.80s 0
   9 2.89e+01          516.288 2.70e+01        0.0349844              N/A     22.50s 0
  10 2.91e+01          336.191 2.70e+01        0.0349844              N/A     22.70s 0
  11 2.81e+01          9551.67 4.70e+01        0.0336819              N/A     20.46s 0
  12 2.77e+01          494.358 4.70e+01        0.0336819              N/A     19.42s 0
  13 2.79e+01            272.8 4.90e+01        0.0300631              N/A     17.56s 0
  14 2.81e+01          21.3378 4.90e+01        0.0298084              N/A     16.39s 0
  15 2.86e+01          43.0756 3.10e+01        0.0334174              N/A     14.92s 0
  16 2.75e+01          3915.99 3.10e+01        0.0334174              N/A     13.00s 0
  17 2.83e+01          38946.6 3.50e+01        0.0333822              N/A     11.61s 0
  18 2.85e+01          157.787 5.10e+01        0.0318232              N/A     10.28s 0
  19 2.82e+01           249.05 5.30e+01        0.0314555              N/A      8.29s 0
  20 2.75e+01          95164.3 5.30e+01        0.0314555              N/A      7.09s 0
  21 2.79e+01          339.792 4.50e+01        0.0301092              N/A      5.07s 0
  22 2.69e+01          131.452 4.70e+01        0.0304526              N/A      3.32s 0
  23 2.80e+01           117063 5.30e+01        0.0302855              N/A      1.73s 0
  24 2.80e+01           207.85 2.90e+01        0.0318175              N/A      0.00s 0
  25 2.77e+01          258.828 5.70e+01        0.0315308              N/A     42.33s 0
  26 2.87e+01           225.55 5.70e+01        0.0305236              N/A     38.85s 0
  27 2.99e+01          89166.2 5.70e+01        0.0303243              N/A     40.68s 0
  28 2.94e+01          27289.1 2.90e+01        0.0305007              N/A     38.92s 0
  29 2.94e+01          520.421 2.90e+01        0.0305007              N/A     36.01s 0
  30 3.02e+01           405969 2.90e+01        0.0305007              N/A     34.20s 0
  31 3.06e+01           85.428 2.90e+01        0.0305007              N/A     32.15s 0
  32 3.03e+01          82.5772 3.50e+01        0.0297587              N/A     30.71s 0
  33 3.08e+01          333.803 2.90e+01        0.0305007              N/A     27.66s 0
  34 3.03e+01          47.4957 2.90e+01        0.0305007              N/A     27.62s 0
  35 2.97e+01          131.036 2.90e+01        0.0305007              N/A     25.65s 0
  36 3.01e+01          17.6827 2.90e+01        0.0305007              N/A     24.71s 0
  37 3.03e+01           217.78 2.90e+01        0.0305007              N/A     22.12s 0
  38 3.07e+01          20.8528 2.90e+01        0.0305007              N/A     20.27s 0
  39 2.99e+01          85.2362 2.90e+01        0.0305007              N/A     18.85s 0
  40 3.13e+01          21.5233 3.30e+01        0.0285506              N/A     17.59s 0
  41 2.95e+01          143.898 3.30e+01        0.0285506              N/A     15.64s 0
  42 2.99e+01          79.7365 3.30e+01        0.0285506              N/A     12.99s 0
  43 2.97e+01          202.926 3.30e+01        0.0285506              N/A     11.11s 0
  44 3.04e+01          385.663 3.30e+01        0.0285506              N/A      9.18s 0
  45 3.09e+01           189396 3.30e+01        0.0285506              N/A      7.45s 0
  46 3.07e+01           133.61 3.70e+01        0.0283143              N/A      5.85s 0
  47 3.17e+01          248.977 3.70e+01        0.0283143              N/A      3.82s 0
  48 3.26e+01           133.85 6.10e+01        0.0282756              N/A      1.93s 0
  49 3.35e+01          16.7433 6.10e+01        0.0282756              N/A      0.00s 0
  50 3.35e+01          133.442 3.70e+01        0.0283143              N/A     48.31s 0
  51 3.34e+01          390.981 3.90e+01        0.0283106              N/A     44.69s 0
  52 3.26e+01          18509.9 4.10e+01        0.0283067              N/A     44.77s 0
