    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen Complexity          Fitness Complexity          Fitness      OOB Fitness  Time Left
   0 3.66e+01      1.96023e+10 9.00e+00         0.111276              N/A      3.50s 0
   1 1.20e+01           642331 1.50e+01        0.0934194              N/A     23.59s 0
   2 7.66e+00           100.13 1.50e+01        0.0934194              N/A     23.65s 0
   3 8.12e+00          5.45482 1.10e+01        0.0934194              N/A     23.30s 0
   4 7.43e+00          67940.1 1.30e+01        0.0784001              N/A     24.35s 0
   5 5.46e+00          28.2937 1.30e+01        0.0784001              N/A     22.62s 0
   6 6.52e+00          35.0141 1.50e+01           0.0676              N/A     19.97s 0
   7 9.54e+00           99.068 1.70e+01        0.0656873              N/A     19.35s 0
   8 1.21e+01          140.235 1.70e+01        0.0656873              N/A     19.21s 0
   9 1.35e+01          189.923 9.00e+00        0.0655955              N/A     19.07s 0
  10 1.39e+01          34478.9 1.10e+01        0.0655902              N/A     17.78s 0
  11 1.46e+01           114589 2.50e+01        0.0586413              N/A     17.53s 0
  12 1.45e+01          65.7255 1.50e+01        0.0562608              N/A     16.44s 0
  13 1.40e+01           360937 2.50e+01         0.055586              N/A     15.54s 0
  14 1.38e+01          30.2918 1.90e+01        0.0544746              N/A     13.88s 0
  15 1.36e+01          72.9397 1.50e+01        0.0475542              N/A     12.71s 0
  16 1.37e+01          52036.7 1.50e+01        0.0475542              N/A     10.42s 0
  17 1.67e+01          153.933 1.70e+01        0.0474129              N/A      9.62s 0
  18 1.84e+01          85659.3 1.70e+01        0.0406486              N/A      8.31s 0
  19 1.88e+01          43672.3 1.70e+01         0.035429              N/A      7.30s 0
  20 1.89e+01          42970.7 3.70e+01        0.0319032              N/A      5.77s 0
  21 1.90e+01      1.14656e+06 2.70e+01        0.0303561              N/A      4.61s 0
  22 2.15e+01          85665.9 2.90e+01        0.0296572              N/A      2.94s 0
  23 2.54e+01          42857.9 7.30e+01        0.0290659              N/A      1.61s 0
  24 2.59e+01          135.834 5.50e+01        0.0290573              N/A      0.00s 0
  25 2.48e+01          5761.01 3.10e+01        0.0290729              N/A     41.27s 0
  26 2.33e+01          189.275 2.50e+01        0.0269988              N/A     39.20s 0
  27 2.22e+01          42906.2 2.50e+01        0.0269988              N/A     37.31s 0
  28 2.13e+01           128406 2.50e+01        0.0269988              N/A     34.60s 0
  29 2.07e+01          204.712 2.50e+01        0.0269988              N/A     32.39s 0
  30 2.03e+01          45716.9 2.50e+01        0.0269988              N/A     29.45s 0
  31 1.98e+01          175.933 2.50e+01        0.0269988              N/A     28.90s 0
  32 1.95e+01            42918 2.50e+01        0.0269988              N/A     26.41s 0
  33 1.95e+01          42928.9 2.30e+01        0.0283319              N/A     25.30s 0
  34 1.85e+01          85632.6 2.30e+01        0.0271411              N/A     23.32s 0
  35 1.76e+01           592745 2.30e+01        0.0271411              N/A     21.74s 0
  36 1.74e+01           215166 1.90e+01        0.0290774              N/A     19.46s 0
  37 1.66e+01           144155 1.90e+01        0.0290774              N/A     18.43s 0
  38 1.59e+01           173990 1.50e+01        0.0291515              N/A     15.91s 0
  39 1.60e+01           173785 1.50e+01        0.0291515              N/A     14.41s 0
  40 1.58e+01           309635 1.50e+01        0.0291515              N/A     13.19s 0
  41 1.51e+01           267533 1.50e+01        0.0291515              N/A     11.71s 0
  42 1.54e+01           109594 1.50e+01        0.0291515              N/A      9.68s 0
  43 1.51e+01          86996.4 1.50e+01        0.0291515              N/A      8.23s 0
  44 1.51e+01          376.913 1.50e+01        0.0291515              N/A      6.69s 0
  45 1.53e+01           260610 1.50e+01        0.0291515              N/A      6.00s 0
  46 1.54e+01           173791 1.50e+01        0.0291515              N/A      4.30s 0
  47 1.56e+01           248939 1.50e+01        0.0291515              N/A      2.83s 0
  48 1.52e+01          43644.9 1.50e+01        0.0291515              N/A      1.46s 0
  49 1.53e+01          87051.8 1.50e+01        0.0291515              N/A      0.00s 0
  50 1.54e+01          233.655 1.50e+01        0.0291515              N/A     35.88s 0
  51 1.55e+01          227.872 1.50e+01        0.0291515              N/A     33.01s 0
  52 1.51e+01          86982.6 1.50e+01        0.0291515              N/A     33.42s 0
