    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen Complexity          Fitness Complexity          Fitness      OOB Fitness  Time Left
   0 3.91e+01      6.09019e+12 9.00e+00         0.111162              N/A      4.27s 0
   1 1.28e+01          16175.7 9.00e+00         0.111162              N/A     21.61s 0
   2 6.27e+00           569780 7.00e+00        0.0998897              N/A     22.73s 0
   3 5.42e+00          67.9859 7.00e+00        0.0998897              N/A     23.32s 0
   4 4.65e+00          12.8369 7.00e+00        0.0998897              N/A     22.69s 0
   5 3.41e+00          11.0742 3.00e+00        0.0998897              N/A     19.46s 0
   6 1.46e+00          14.7241 3.00e+00        0.0998897              N/A     18.53s 0
   7 1.50e+00         0.397289 3.00e+00        0.0998897              N/A     15.95s 0
   8 2.82e+00          3.98366 5.00e+00        0.0991217              N/A     17.44s 0
   9 3.15e+00          8.80084 5.00e+00        0.0991217              N/A     14.70s 0
  10 3.12e+00          4.09849 5.00e+00        0.0991217              N/A     14.56s 0
  11 3.25e+00          97.9771 5.00e+00        0.0991217              N/A     13.83s 0
  12 3.13e+00          10.7156 5.00e+00        0.0991217              N/A     12.54s 0
  13 3.15e+00          369.221 3.00e+00        0.0991916              N/A     11.97s 0
  14 3.19e+00          17.2244 3.00e+00        0.0991916              N/A      9.96s 0
  15 3.31e+00          18.2841 3.00e+00        0.0991916              N/A      9.97s 0
  16 3.29e+00          56.3899 3.00e+00        0.0991916              N/A      8.67s 0
  17 3.23e+00           10.567 3.00e+00        0.0991916              N/A      7.42s 0
  18 3.13e+00           254882 3.00e+00        0.0991916              N/A      6.49s 0
  19 3.13e+00          32.5884 3.00e+00        0.0991916              N/A      5.78s 0
  20 3.14e+00          24.3515 3.00e+00        0.0991916              N/A      4.13s 0
  21 3.18e+00          6.92595 3.00e+00        0.0991916              N/A      3.28s 0
  22 3.20e+00          1294.64 3.00e+00        0.0991916              N/A      2.16s 0
  23 3.19e+00          11.9329 3.00e+00        0.0991916              N/A      1.02s 0
  24 3.08e+00          8.08543 3.00e+00        0.0991916              N/A      0.00s 0
  25 3.25e+00         0.671698 3.00e+00        0.0991916              N/A     24.96s 0
  26 3.20e+00          5.58973 3.00e+00        0.0991916              N/A     25.43s 0
  27 3.46e+00           263372 3.00e+00        0.0991916              N/A     23.43s 0
  28 3.41e+00          133.818 3.00e+00        0.0991916              N/A     21.24s 0
  29 3.23e+00          3.57884 3.00e+00        0.0991916              N/A     21.37s 0
  30 3.07e+00          7.20804 3.00e+00        0.0991916              N/A     20.26s 0
  31 3.33e+00          55.4122 3.00e+00        0.0991916              N/A     18.80s 0
  32 3.14e+00          1.83733 3.00e+00        0.0991916              N/A     18.63s 0
  33 3.11e+00          2.11119 3.00e+00        0.0991916              N/A     17.31s 0
  34 3.21e+00          101.829 3.00e+00        0.0991916              N/A     15.54s 0
  35 3.44e+00          36050.9 3.00e+00        0.0991916              N/A     15.28s 0
  36 3.07e+00          51.4808 3.00e+00        0.0991916              N/A     14.05s 0
  37 3.24e+00           395093 3.00e+00        0.0991916              N/A     12.30s 0
  38 3.16e+00          862.428 3.00e+00        0.0991916              N/A     11.69s 0
  39 3.15e+00          41.1735 3.00e+00        0.0991916              N/A     10.02s 0
  40 3.22e+00          29.8186 3.00e+00        0.0991916              N/A      9.45s 0
  41 3.22e+00          47.5889 3.00e+00        0.0991916              N/A      8.31s 0
  42 3.22e+00          29.7048 3.00e+00        0.0991535              N/A      7.36s 0
  43 3.21e+00          243.292 3.00e+00        0.0991535              N/A      6.38s 0
  44 3.17e+00           901513 3.00e+00        0.0991535              N/A      5.41s 0
  45 3.13e+00          9.49481 3.00e+00        0.0991535              N/A      4.04s 0
  46 3.25e+00          7.01821 3.00e+00        0.0991535              N/A      3.19s 0
  47 3.24e+00          12.7361 3.00e+00        0.0991535              N/A      2.00s 0
  48 3.10e+00          8.01731 3.00e+00        0.0991535              N/A      1.06s 0
  49 3.15e+00          11.7651 3.00e+00        0.0991535              N/A      0.00s 0
  50 3.11e+00          21214.4 3.00e+00        0.0991535              N/A     24.30s 0
  51 3.25e+00          4413.38 3.00e+00        0.0991535              N/A     24.74s 0
  52 3.43e+00          11.7739 3.00e+00        0.0991535              N/A     24.04s 0
