    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen Complexity          Fitness Complexity          Fitness      OOB Fitness  Time Left
   0 3.73e+01      2.23199e+14 9.00e+00         0.288512              N/A      5.31s 0
   1 1.29e+01          197.049 3.00e+00         0.104811              N/A     22.42s 0
   2 7.34e+00          278.284 3.00e+00         0.104811              N/A     22.59s 0
   3 7.66e+00          42.6947 5.00e+00         0.103367              N/A     23.06s 0
   4 5.86e+00      6.04031e+08 9.00e+00        0.0993618              N/A     21.26s 0
   5 3.94e+00          6.73617 9.00e+00        0.0993618              N/A     23.01s 0
   6 5.22e+00          52826.1 1.50e+01        0.0991078              N/A     18.80s 0
   7 7.21e+00           62.146 1.50e+01        0.0991078              N/A     19.98s 0
   8 8.17e+00           458991 1.50e+01        0.0991078              N/A     18.33s 0
   9 8.38e+00          7.55296 9.00e+00        0.0991275              N/A     19.84s 0
  10 8.42e+00           112642 9.00e+00        0.0991275              N/A     18.63s 0
  11 8.63e+00          12.6766 9.00e+00        0.0991275              N/A     16.30s 0
  12 9.01e+00          6.47643 9.00e+00        0.0991275              N/A     14.94s 0
  13 9.08e+00          3.64586 9.00e+00        0.0991275              N/A     14.59s 0
  14 9.00e+00          21.4064 9.00e+00        0.0991275              N/A     13.69s 0
  15 9.30e+00          10.4996 9.00e+00        0.0991275              N/A     11.93s 0
  16 9.32e+00          20.2957 9.00e+00        0.0991275              N/A      9.73s 0
  17 9.18e+00           189397 1.10e+01        0.0640438              N/A      9.22s 0
  18 9.57e+00          15.8768 1.10e+01        0.0640438              N/A      7.84s 0
  19 9.12e+00          22335.4 1.10e+01        0.0640438              N/A      6.37s 0
  20 9.09e+00          2.44592 1.10e+01        0.0640438              N/A      5.53s 0
  21 9.62e+00          14.3031 1.10e+01        0.0640438              N/A      3.62s 0
  22 1.10e+01           5.2321 1.10e+01        0.0640438              N/A      2.51s 0
  23 1.18e+01           190502 1.10e+01        0.0640438              N/A      1.34s 0
  24 1.13e+01          22.8867 1.10e+01        0.0640438              N/A      0.00s 0
  25 1.09e+01           894585 1.10e+01        0.0640438              N/A     34.46s 0
  26 1.11e+01          2.37577 1.10e+01        0.0640438              N/A     31.73s 0
  27 1.09e+01          3.66898 1.10e+01        0.0640438              N/A     27.73s 0
  28 1.11e+01          4.98439 1.10e+01        0.0640438              N/A     29.13s 0
  29 1.09e+01      6.73085e+10 1.10e+01        0.0640438              N/A     28.35s 0
  30 1.16e+01          6.64496 1.10e+01        0.0640438              N/A     28.08s 0
  31 1.13e+01          26.3819 1.10e+01        0.0640438              N/A     25.34s 0
  32 1.13e+01      1.09467e+06 1.10e+01        0.0640438              N/A     23.69s 0
  33 1.09e+01          1.24719 1.10e+01        0.0640438              N/A     21.80s 0
  34 1.12e+01         0.415201 1.10e+01        0.0640438              N/A     21.52s 0
  35 1.12e+01          23.9354 1.10e+01        0.0640438              N/A     18.93s 0
  36 1.14e+01          2.37508 1.10e+01        0.0640438              N/A     16.71s 0
  37 1.14e+01          3.07995 1.10e+01        0.0640438              N/A     17.10s 0
  38 1.12e+01          77176.8 1.10e+01        0.0640438              N/A     15.06s 0
  39 1.09e+01          10494.4 1.10e+01        0.0640438              N/A     13.62s 0
  40 1.10e+01          57.2129 1.10e+01        0.0640438              N/A     12.27s 0
  41 1.10e+01          1.54751 1.10e+01        0.0640438              N/A     10.97s 0
  42 1.12e+01           2.4235 1.10e+01        0.0640438              N/A      9.74s 0
  43 1.12e+01         0.434584 1.10e+01        0.0640438              N/A      8.34s 0
  44 1.14e+01          20.5538 2.30e+01        0.0532326              N/A      6.66s 0
  45 1.17e+01          2822.24 2.30e+01        0.0532326              N/A      5.37s 0
  46 1.17e+01          1.08981 2.30e+01        0.0532326              N/A      4.18s 0
  47 1.28e+01          8.49144 2.30e+01        0.0532326              N/A      2.84s 0
  48 1.67e+01      2.29811e+06 2.30e+01        0.0386279              N/A      1.40s 0
  49 2.13e+01          43457.7 2.30e+01        0.0386279              N/A      0.00s 0
  50 2.34e+01         0.458977 3.50e+01        0.0377118              N/A     38.63s 0
  51 2.50e+01          1.62636 4.10e+01        0.0337976              N/A     40.13s 0
