    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen Complexity          Fitness Complexity          Fitness      OOB Fitness  Time Left
   0 3.55e+01       1.2863e+13 7.00e+00         0.114641              N/A      4.40s 0
   1 1.18e+01      2.39489e+08 1.00e+00         0.099391              N/A     20.45s 0
   2 6.95e+00          41566.5 1.30e+01        0.0700661              N/A     24.03s 0
   3 7.04e+00      1.42561e+07 1.30e+01        0.0700661              N/A     23.22s 0
   4 5.37e+00          10.8779 1.30e+01        0.0700661              N/A     21.68s 0
   5 4.28e+00         0.376265 1.30e+01        0.0664755              N/A     20.74s 0
   6 6.46e+00          5.97096 1.50e+01        0.0662885              N/A     19.15s 0
   7 1.10e+01          38.9596 2.10e+01         0.059841              N/A     19.11s 0
   8 1.31e+01          31.2381 1.30e+01        0.0525668              N/A     19.86s 0
   9 1.36e+01          16.8559 2.30e+01        0.0452172              N/A     20.59s 0
  10 1.37e+01          55.6388 2.50e+01         0.042122              N/A     20.28s 0
  11 1.43e+01          14.6971 1.30e+01        0.0398786              N/A     17.76s 0
  12 1.53e+01         0.539477 2.70e+01        0.0390083              N/A     18.13s 0
  13 1.56e+01           10.331 2.70e+01        0.0390083              N/A     17.64s 0
  14 1.55e+01          13109.3 2.30e+01        0.0366243              N/A     14.95s 0
  15 1.47e+01          3.79437 2.30e+01        0.0366243              N/A     13.25s 0
  16 1.30e+01          3.51465 1.90e+01        0.0396902              N/A     11.93s 0
  17 1.19e+01          53.9929 1.70e+01        0.0397843              N/A     10.25s 0
  18 1.14e+01           8.8992 1.30e+01        0.0398786              N/A      8.19s 0
  19 1.11e+01          2.31281 1.30e+01        0.0398786              N/A      7.03s 0
  20 1.10e+01         0.429153 1.10e+01        0.0404878              N/A      5.43s 0
  21 1.12e+01          2.40084 1.10e+01        0.0404878              N/A      4.40s 0
  22 1.10e+01          23.1268 1.10e+01        0.0404878              N/A      2.62s 0
  23 1.11e+01          2.30888 1.10e+01        0.0404878              N/A      1.35s 0
  24 1.14e+01          4.54126 1.10e+01        0.0404878              N/A      0.00s 0
  25 1.11e+01          30.8325 1.10e+01        0.0404878              N/A     33.19s 0
  26 1.11e+01          66484.9 1.10e+01        0.0404878              N/A     32.08s 0
  27 1.12e+01          6.17968 1.10e+01        0.0404878              N/A     29.61s 0
  28 1.12e+01           8412.9 1.10e+01        0.0404878              N/A     27.96s 0
  29 1.13e+01          2.86072 1.10e+01        0.0404878              N/A     27.53s 0
  30 1.09e+01          1.39211 1.10e+01        0.0404878              N/A     25.75s 0
  31 1.11e+01          38.6887 1.10e+01        0.0404878              N/A     24.30s 0
  32 1.09e+01          57.1636 1.10e+01        0.0404878              N/A     23.23s 0
  33 1.10e+01          12280.1 1.10e+01        0.0404878              N/A     21.58s 0
  34 1.11e+01          45.6817 1.10e+01        0.0404878              N/A     20.56s 0
  35 1.12e+01          21522.7 1.10e+01        0.0404878              N/A     18.73s 0
  36 1.11e+01          59.4615 1.10e+01        0.0404878              N/A     18.19s 0
  37 1.16e+01          1786.95 1.10e+01        0.0404878              N/A     16.78s 0
  38 1.14e+01          362.155 1.10e+01        0.0404878              N/A     14.98s 0
  39 1.10e+01             6.74 1.10e+01        0.0404878              N/A     13.51s 0
  40 1.12e+01          3.56708 1.10e+01        0.0396979              N/A     11.81s 0
  41 1.11e+01          12.4412 1.10e+01        0.0396979              N/A     11.36s 0
  42 1.13e+01          11113.8 1.10e+01        0.0396979              N/A      9.22s 0
  43 1.12e+01          5948.11 1.10e+01        0.0396979              N/A      8.25s 0
  44 1.11e+01          1.37165 1.10e+01        0.0396979              N/A      6.69s 0
  45 1.13e+01           26.024 1.10e+01        0.0396979              N/A      5.28s 0
  46 1.12e+01           100160 1.10e+01        0.0396979              N/A      3.91s 0
  47 1.13e+01          41362.5 1.50e+01         0.038997              N/A      2.63s 0
  48 1.13e+01           160545 1.50e+01         0.038997              N/A      1.40s 0
  49 1.08e+01          1.01381 1.10e+01        0.0396979              N/A      0.00s 0
  50 1.12e+01          6.71627 1.10e+01        0.0396979              N/A     30.87s 0
  51 1.10e+01          85319.6 1.10e+01        0.0396979              N/A     31.39s 0
