    |   Population Average    |             Best Individual              |
---- ------------------------- ------------------------------------------ ----------
 Gen Complexity          Fitness Complexity          Fitness      OOB Fitness  Time Left
  81 1.09e+01          80430.8 1.10e+01        0.0523281              N/A     24.92s 0
  82 1.14e+01          994.797 1.10e+01        0.0523281              N/A     21.75s 0
  83 1.12e+01           950879 1.10e+01        0.0523281              N/A     22.22s 0
  84 1.12e+01           371558 1.10e+01        0.0522959              N/A     20.30s 0
  85 1.09e+01          44.4446 1.10e+01        0.0522959              N/A     18.96s 0
  86 1.09e+01          74.2337 1.10e+01        0.0522959              N/A     17.13s 0
  87 1.12e+01            56.74 1.30e+01        0.0522611              N/A     16.42s 0
  88 1.11e+01          47.6792 1.30e+01        0.0522611              N/A     14.24s 0
  89 1.10e+01          433.372 1.30e+01        0.0522611              N/A     13.29s 0
  90 1.11e+01          184.773 1.50e+01        0.0522842              N/A     11.84s 0
  91 1.11e+01          247.064 1.10e+01        0.0522958              N/A     10.98s 0
  92 1.06e+01          69.4569 1.30e+01        0.0522611              N/A      9.06s 0
  93 9.90e+00          51.8395 1.10e+01        0.0522958              N/A      7.77s 0
  94 9.34e+00          53.5192 1.10e+01        0.0522958              N/A      6.39s 0
  95 9.20e+00          112.261 1.10e+01        0.0522958              N/A      5.05s 0
  96 8.88e+00          578.041 9.00e+00        0.0527286              N/A      3.82s 0
  97 8.93e+00          375.923 9.00e+00        0.0527286              N/A      2.57s 0
  98 8.99e+00          115.245 9.00e+00        0.0527286              N/A      1.27s 0
  99 9.28e+00          108.174 9.00e+00        0.0527286              N/A      0.00s 0
 100 9.25e+00          432.073 9.00e+00        0.0527286              N/A     31.49s 0
 101 9.07e+00          249.188 9.00e+00        0.0527286              N/A     30.07s 0
 102 8.77e+00          59.3773 9.00e+00        0.0527286              N/A     28.44s 0
 103 9.07e+00          108.635 9.00e+00        0.0527286              N/A     27.22s 0
 104 8.98e+00          1137.22 9.00e+00        0.0527286              N/A     24.22s 0
 105 9.04e+00           190834 9.00e+00        0.0527286              N/A     24.50s 0
 106 8.91e+00          56.6389 9.00e+00        0.0527286              N/A     22.89s 0
 107 9.04e+00           190829 9.00e+00        0.0527286              N/A     21.54s 0
 108 9.09e+00          26642.4 9.00e+00        0.0526491              N/A     20.12s 0
 109 9.22e+00          419.123 9.00e+00        0.0526491              N/A     19.56s 0
 110 8.95e+00          86.4694 9.00e+00        0.0526491              N/A     18.18s 0
 111 9.05e+00           250547 9.00e+00        0.0526491              N/A     16.57s 0
 112 9.14e+00          64.4489 9.00e+00        0.0526491              N/A     15.36s 0
 113 9.13e+00           101467 9.00e+00        0.0526491              N/A     13.95s 0
 114 9.29e+00          435.796 9.00e+00        0.0526491              N/A     12.77s 0
 115 9.18e+00          78.4083 9.00e+00        0.0526491              N/A     10.85s 0
 116 9.13e+00          382.763 9.00e+00        0.0526491              N/A     10.35s 0
 117 8.88e+00          53.8016 9.00e+00        0.0526491              N/A      9.11s 0
 118 9.32e+00          111.647 9.00e+00        0.0526491              N/A      7.81s 0
